x,y,z
0.000000000000000000e+00,-2.741534580690076275e-14,-1.840000000000000284e+02
1.185035509127539299e+01,-2.052541710582152135e+01,-1.824671924945488399e+02
2.332176186748137070e+01,-4.039447647650016648e+01,-1.779898359277460713e+02
3.367443869966703573e+01,-5.832583874418695302e+01,-1.712312141901980169e+02
4.250040761973993142e+01,-7.361286533977701652e+01,-1.631896485951967861e+02
4.970577575717913987e+01,-8.609292904105963373e+01,-1.548332762215800074e+02
5.539560936196684793e+01,-9.594800993116473364e+01,-1.469057720229722008e+02
5.975699003616322358e+01,-1.035021428500218406e+02,-1.399014244647693204e+02
6.298125493243824025e+01,-1.090867334674309603e+02,-1.341247408517194799e+02
6.522382053988192752e+01,-1.129709710388300010e+02,-1.297667636058059202e+02
6.658659973436031976e+01,-1.153313738431643571e+02,-1.269681020700252816e+02
6.710975508289885738e+01,-1.162375054870845332e+02,-1.258615234726376997e+02
6.676459769375797748e+01,-1.156396753524846588e+02,-1.265936569467941268e+02
6.544411800585196204e+01,-1.133525374426687620e+02,-1.293223479285173596e+02
6.295294659978507923e+01,-1.090377019969981092e+02,-1.341778896004048818e+02
5.900768998218170935e+01,-1.022043170864117627e+02,-1.411678791080567237e+02
5.327372435378558890e+01,-9.227279728917609702e+01,-1.500121367553555274e+02
4.547630101311040818e+01,-7.876726389500323933e+01,-1.599488173906261750e+02
3.559581609216454723e+01,-6.165376200850684540e+01,-1.696695361782167595e+02
-1.185035509127539299e+01,-2.052541710582152135e+01,-1.824671924945488399e+02
0.000000000000000000e+00,-4.003374987321241463e+01,-1.795920345424291327e+02
1.131523398418597282e+01,-5.808977451839105299e+01,-1.742226838740742210e+02
2.146527702799334847e+01,-7.380135149924549864e+01,-1.671783550553010969e+02
3.012896501191685417e+01,-8.682820780021812368e+01,-1.594023456462069248e+02
3.724361046160520772e+01,-9.723955101488724040e+01,-1.517016255621783216e+02
4.289786618702814991e+01,-1.053120920777594876e+02,-1.446552326699774937e+02
4.723678008071578915e+01,-1.113739262932731435e+02,-1.386381446414609400e+02
5.040073668189224776e+01,-1.157151380587793881e+02,-1.338871635593202427e+02
5.249251238039039436e+01,-1.185459297659862159e+02,-1.305656872226099949e+02
5.356020823756154670e+01,-1.199781523144247188e+02,-1.288120610065911080e+02
5.358640609921102538e+01,-1.200131837791767424e+02,-1.287685241064600632e+02
5.247849241612533433e+01,-1.185270651507645141e+02,-1.305884476532173721e+02
5.006055266521430980e+01,-1.152517458751096910e+02,-1.344134522270462924e+02
4.607559152223932841e+01,-1.097635756394132613e+02,-1.403032334934820540e+02
4.022010238988698916e+01,-1.015124838225085568e+02,-1.480998277917025234e+02
3.224490681686755522e+01,-8.995270722286331022e+01,-1.572411410784384316e+02
2.213744893662418178e+01,-7.482504269033931621e+01,-1.666347693039098488e+02
1.031271298111196622e+01,-5.651272032500374820e+01,-1.748026326816535914e+02
-2.332176186748137070e+01,-4.039447647650016648e+01,-1.779898359277460713e+02
-1.131523398418597282e+01,-5.808977451839105299e+01,-1.742226838740742210e+02
0.000000000000000000e+00,-7.386897018896330280e+01,-1.685211418286206140e+02
1.009369507064014115e+01,-8.722073545357000057e+01,-1.616992907429074080e+02
1.871059390615105400e+01,-9.806961617861161074e+01,-1.545582869284559138e+02
2.580438532916414829e+01,-1.066063478384461831e+02,-1.477336126219495043e+02
3.144321418507740518e+01,-1.131252138721431919e+02,-1.416686636772338943e+02
3.573232857936412188e+01,-1.179170014869374512e+02,-1.366557040691165241e+02
3.876409806505956368e+01,-1.212129616139130235e+02,-1.328938021052392457e+02
4.058873507337366959e+01,-1.231588041552308397e+02,-1.305391264877966648e+02
4.119623732439432473e+01,-1.238002013321194994e+02,-1.297396630966754572e+02
4.050301784855634679e+01,-1.230680425086174665e+02,-1.306513010201454108e+02
3.834183729281754438e+01,-1.207585577489786459e+02,-1.334289108229460510e+02
3.446168811435865820e+01,-1.165129242460653103e+02,-1.381778945270889380e+02
2.855735311923635678e+01,-1.098193290688660255e+02,-1.448454091287927668e+02
2.036297242285870013e+01,-1.000905863349746312e+02,-1.530464762130343388e+02
9.835221404184510519e+00,-8.688741115617474975e+01,-1.618945527264846191e+02
-2.627475758993681687e+00,-7.028135567175830545e+01,-1.700283135718158007e+02
-1.611227927586497088e+01,-5.113948800922931781e+01,-1.760146221843242813e+02
-3.367443869966703573e+01,-5.832583874418695302e+01,-1.712312141901980169e+02
-2.146527702799334847e+01,-7.380135149924549864e+01,-1.671783550553010969e+02
-1.009369507064014115e+01,-8.722073545357000057e+01,-1.616992907429074080e+02
0.000000000000000000e+00,-9.835601526390240679e+01,-1.555059299879171704e+02
8.610133274971207840e+00,-1.072811849728195455e+02,-1.492401184528306146e+02
