x,y,z
-150,-120,-110
-150,-120,-100
-150,-110,-120
-150,-110,-110
-150,-110,-100
-150,-100,-130
-150,-100,-120
-150,-100,-110
-150,-100,-100
-150,-90,-140
-150,-90,-130
-150,-90,-120
-150,-90,-110
-150,-90,-100
-150,-80,-150
-150,-80,-140
-150,-80,-130
-150,-80,-120
-150,-80,-110
-150,-80,-100
-150,-70,-160
-150,-70,-150
-150,-70,-140
-150,-70,-130
-150,-70,-120
-150,-70,-110
-150,-70,-100
-150,-60,-160
-150,-60,-150
-150,-60,-140
-150,-60,-130
-150,-60,-120
-150,-60,-110
-150,-60,-100
-150,-50,-170
-150,-50,-160
-150,-50,-150
-150,-50,-140
-150,-50,-130
-150,-50,-120
-150,-50,-110
-150,-50,-100
-150,-40,-170
-150,-40,-160
-150,-40,-150
-150,-40,-140
-150,-40,-130
-150,-40,-120
-150,-40,-110
-150,-40,-100
-150,-30,-170
-150,-30,-160
-150,-30,-150
-150,-30,-140
-150,-30,-130
-150,-30,-120
-150,-30,-110
-150,-30,-100
-150,-20,-170
-150,-20,-160
-150,-20,-150
-150,-20,-140
-150,-20,-130
-150,-20,-120
-150,-20,-110
-150,-20,-100
-150,-10,-170
-150,-10,-160
-150,-10,-150
-150,-10,-140
-150,-10,-130
-150,-10,-120
-150,-10,-110
-150,-10,-100
-150,0,-170
-150,0,-160
-150,0,-150
-150,0,-140
-150,0,-130
-150,0,-120
-150,0,-110
-150,0,-100
-150,10,-170
-150,10,-160
-150,10,-150
-150,10,-140
-150,10,-130
-150,10,-120
-150,10,-110
-150,10,-100
-150,20,-170
-150,20,-160
-150,20,-150
-150,20,-140
-150,20,-130
-150,20,-120
-150,20,-110
-150,20,-100
-150,30,-170
-150,30,-160
-150,30,-150
-150,30,-140
-150,30,-130
-150,30,-120
-150,30,-110
-150,30,-100
-150,40,-160
-150,40,-150
-150,40,-140
-150,40,-130
-150,40,-120
-150,40,-110
-150,40,-100
-150,50,-160
-150,50,-150
-150,50,-140
-150,50,-130
-150,50,-120
-150,50,-110
-150,50,-100
-150,60,-150
-150,60,-140
-150,60,-130
-150,60,-120
-150,60,-110
-150,60,-100
-150,70,-140
-150,70,-130
-150,70,-120
-150,70,-110
-150,70,-100
-150,80,-140
-150,80,-130
-150,80,-120
-150,80,-110
-150,80,-100
-150,90,-120
-150,90,-110
-150,90,-100
-150,100,-110
-150,100,-100
-140,-130,-100
-140,-120,-130
-140,-120,-120
-140,-120,-110
-140,-120,-100
-140,-110,-140
-140,-110,-130
-140,-110,-120
-140,-110,-110
-140,-110,-100
-140,-100,-150
-140,-100,-140
-140,-100,-130
-140,-100,-120
-140,-100,-110
-140,-100,-100
-140,-90,-150
-140,-90,-140
-140,-90,-130
-140,-90,-120
-140,-90,-110
-140,-90,-100
-140,-80,-160
-140,-80,-150
-140,-80,-140
-140,-80,-130
-140,-80,-120
-140,-80,-110
-140,-80,-100
-140,-70,-170
-140,-70,-160
-140,-70,-150
-140,-70,-140
-140,-70,-130
-140,-70,-120
-140,-70,-110
-140,-70,-100
-140,-60,-170
-140,-60,-160
-140,-60,-150
-140,-60,-140
-140,-60,-130
-140,-60,-120
-140,-60,-110
-140,-60,-100
-140,-50,-180
-140,-50,-170
-140,-50,-160
-140,-50,-150
-140,-50,-140
-140,-50,-130
-140,-50,-120
-140,-50,-110
-140,-50,-100
-140,-40,-180
-140,-40,-170
-140,-40,-160
-140,-40,-150
-140,-40,-140
-140,-40,-130
-140,-40,-120
-140,-40,-110
-140,-40,-100
-140,-30,-180
-140,-30,-170
-140,-30,-160
-140,-30,-150
-140,-30,-140
-140,-30,-130
-140,-30,-120
-140,-30,-110
-140,-30,-100
-140,-20,-180
-140,-20,-170
-140,-20,-160
-140,-20,-150
-140,-20,-140
-140,-20,-130
-140,-20,-120
-140,-20,-110
-140,-20,-100
-140,-10,-180
-140,-10,-170
-140,-10,-160
-140,-10,-150
-140,-10,-140
-140,-10,-130
-140,-10,-120
-140,-10,-110
-140,-10,-100
-140,0,-180
-140,0,-170
-140,0,-160
-140,0,-150
-140,0,-140
-140,0,-130
-140,0,-120
-140,0,-110
-140,0,-100
-140,10,-180
-140,10,-170
-140,10,-160
-140,10,-150
-140,10,-140
-140,10,-130
-140,10,-120
-140,10,-110
-140,10,-100
-140,20,-180
-140,20,-170
-140,20,-160
-140,20,-150
-140,20,-140
-140,20,-130
-140,20,-120
